Please select your district.,Are you responding for...,Name of school:,Are computer science or coding courses currently offered in your district?,What grade bands are currently offering CS courses?Select all that apply,,,,Which of the following best describes the computer science courses offered in your district?Select all that apply,,,,,,,,,Approximately how many students are currently enrolled in computer science courses in your district?Best estimate is fine,Is Computer Science required for graduation in your district?,"For Computer Science courses that are offered, which graduation credits can they satisfy?Select all that apply. If it varies, select all that occur anywhere in your district.",,,,,,,,,"If Computer Science can count as math or science credit, note any conditions or limits.(e.g. only AP CS A counts as math; max 1.0 credit; board policy reference)","Are computer science courses offered in all schools in your district, or only in some?",What would need to change in order for your district to offer computer science courses?Select up to 3,,,,,,,,,Approximately how many teachers in your district currently teach computer science or CS-related courses?Include full-time and part-time CS teachers; best estimate is fine,What are the primary challenges related to staffing computer science instruction in your district?Select all that apply,,,,,,,,,What qualifications or credentials do teachers who teach computer science typically have?Check all that apply,,,,,,,,How are computer science teaching assignments typically made in your district?,Is your district currently using or implementing the Alaska Computer Science and/or Digital Literacy Standards?,What are the TOP THREE barriers to offering or expanding computer science instruction in your district?,,,,,,,,,,,,,Are there specific student populations in your district that currently have limited or no access to computer science education?Select all that apply,,,,,,,,,,
Lower Yukon School District,Entire district,,"Yes, computer science courses are offered",,,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,Robotics or engineering courses with coding components,Game design or app development courses,,,CTE pathways with CS or technology focus,Coding clubs or after-school programs (not for credit),,More than 200 students,No,Elective credit,,,CTE credit,,Varies by course,,,,Can count as a math credit but specifically tied to our KCA Boarding School Program where it is more intense. ,CS courses are available in all schools,,,,,,,,,,6-10 teachers,,,No funding for dedicated CS teaching positions,,,Teachers teaching CS have limited planning time or support,,,,,Math or science teaching certification (teaching CS as additional assignment),CTE certification in technology or related field,,,,,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are actively using and implementing the standards",,,No funding for CS curriculum or resources,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,,,"Technology or infrastructure limitations (devices, internet, etc.)",,,,,,,,,,,,,,,,"We had almost a 1:1 chromebook ration, but the tech is outdated and there is not funding to replace current computers."
Fairbanks North Star Borough School District,Entire district,,"Yes, computer science courses are offered",,,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",CS integrated into math or science courses,Robotics or engineering courses with coding components,,Cybersecurity courses,Data science or data analytics courses,CTE pathways with CS or technology focus,,,101-200 students,No,Elective credit,Math credit,Science credit,CTE credit,,,,,,Math elective credit only,CS courses are available in some schools,,,,,,,,,,6-10 teachers,,Teachers interested but lack CS content knowledge or training,No funding for dedicated CS teaching positions,Difficult to recruit CS teachers in Alaska's job market,Scheduling conflicts or competing teaching assignments,,,,,,Math or science teaching certification (teaching CS as additional assignment),CTE certification in technology or related field,College degree in computer science or related field,,Industry experience in technology or software development,,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are actively using and implementing the standards",,,No funding for CS curriculum or resources,No funding for CS teaching positions,,,,"Technology or infrastructure limitations (devices, internet, etc.)",,,,,,Elementary students (K-5),,,,,,,,,,
Anchorage School District,Entire district,,"Yes, computer science courses are offered",,,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",CS integrated into math or science courses,Robotics or engineering courses with coding components,Game design or app development courses,Cybersecurity courses,,CTE pathways with CS or technology focus,Coding clubs or after-school programs (not for credit),,More than 200 students,No,,,,,,,,,Most are CTE (elective) credit. Some offer science credit.,"AP Computer Science Principles is 1.0 credits - .5 CTE elective and .5 Physical Science. IT Service & Support 1 & 2 (.5 Math, .5 Phys Sci, .5 Elective. ",CS courses are available in some schools,,,,,,,,,,More than 10 teachers,,,No funding for dedicated CS teaching positions,Difficult to recruit CS teachers in Alaska's job market,,,,,"When FTE decreases, electives are often the first to go and currently most IT/CS courses are CTE electives.",,Math or science teaching certification (teaching CS as additional assignment),CTE certification in technology or related field,,Professional development or training in CS education,,,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are actively using and implementing the standards",,,,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,,,,Uncertainty about how CS fits into graduation requirements,,,,,,,,,,,,,,No specific populations have limited access,
Lower Kuskokwim School District,Entire district,All of LKSD,"Yes, computer science courses are offered",,,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,,Game design or app development courses,,,,Coding clubs or after-school programs (not for credit),,26-50 students,No,Elective credit,,,,,,,,,,CS courses are available in some schools,,,,,,,,,,3-5 teachers,No teachers qualified or interested in teaching CS,,No funding for dedicated CS teaching positions,,Scheduling conflicts or competing teaching assignments,,,,,,Math or science teaching certification (teaching CS as additional assignment),,,Professional development or training in CS education,,Self-taught or no formal CS qualifications,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are aware of the standards but implementation is limited",,,No funding for CS curriculum or resources,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,,,,,,,,,Elementary students (K-5),,,,,,,,,,
Mount Edgecumbe,Entire district,Mt. Edgecumbe High School,"Yes, computer science courses are offered",,,,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",CS integrated into math or science courses,Robotics or engineering courses with coding components,,,,,Coding clubs or after-school programs (not for credit),,26-50 students,"Yes, required for all students",Elective credit,Math credit,,,Technology or digital Studies credit (local requirement),Varies by course,,,,,CS courses are available in all schools,,,,,,,,,,1-2 teachers,No teachers qualified or interested in teaching CS,,No funding for dedicated CS teaching positions,,,,,,,,,,,,,,I am unsure,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are aware of the standards but implementation is limited",Lack of qualified or trained teachers,No teacher interest in teaching CS,No funding for CS curriculum or resources,No funding for CS teaching positions,,,,,,Limited awareness of CS curriculum options,,Geographic isolation or small school size,,,,,,,,,,,No specific populations have limited access,
Aleutian Region School District,Entire district,,"Yes, computer science courses are offered",,,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,Robotics or engineering courses with coding components,Game design or app development courses,,,,,,1-25 students,No,Elective credit,,,,,,,,,,CS courses are available in all schools,,,,,,,,,,No teachers currently teaching CS,No teachers qualified or interested in teaching CS,Teachers interested but lack CS content knowledge or training,,,,,,,,,Math or science teaching certification (teaching CS as additional assignment),,,,Industry experience in technology or software development,Self-taught or no formal CS qualifications,,CS is taught by teachers on a volunteer or interest basis,"No, we are not currently using the standards",,No teacher interest in teaching CS,,,,Low student enrollment or interest,,,,,,Geographic isolation or small school size,,,,,,,,,,,No specific populations have limited access,
North Slope Borough School District,Entire district,,"Yes, computer science courses are offered",,,,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,,,,,,,,1-25 students,No,Elective credit,,,,,,,,,,CS courses are available in one school only,,,,,,,,,,1-2 teachers,No teachers qualified or interested in teaching CS,Teachers interested but lack CS content knowledge or training,,,Scheduling conflicts or competing teaching assignments,,,,,,Math or science teaching certification (teaching CS as additional assignment),,,Professional development or training in CS education,,,,CS is taught by teachers on a volunteer or interest basis,"Yes, we are aware of the standards but implementation is limited",Lack of qualified or trained teachers,,,,Scheduling constraints or conflicts with other required courses,,,,,,,Geographic isolation or small school size,,,,,,Students in rural or remote communities,,,,,No specific populations have limited access,
Yukon Flats School District,Entire district,,"Yes, computer science courses are offered",K-2,3-5,6-8,9-12,,CS integrated into math or science courses,,Game design or app development courses,,,,,,26-50 students,No,Elective credit,Math credit,Science credit,CTE credit,,,,,,Must be one of the district approved CS courses. ,CS courses are available in all schools,,,,,,,,,,1-2 teachers,No teachers qualified or interested in teaching CS,Teachers interested but lack CS content knowledge or training,No funding for dedicated CS teaching positions,Difficult to recruit CS teachers in Alaska's job market,Scheduling conflicts or competing teaching assignments,,,,,,Math or science teaching certification (teaching CS as additional assignment),,,Professional development or training in CS education,,Self-taught or no formal CS qualifications,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are actively using and implementing the standards",Lack of qualified or trained teachers,,No funding for CS curriculum or resources,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,Low student enrollment or interest,Lack of administrator support or prioritization,,,Limited awareness of CS curriculum options,,Geographic isolation or small school size,,,,,,,,,,,No specific populations have limited access,
Southeast Island School District,Entire district,,"Yes, computer science courses are offered",,,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",CS integrated into math or science courses,,,,,CTE pathways with CS or technology focus,,,26-50 students,No,Elective credit,,,,,,,,,,CS courses are available in some schools,,,,,,,,,,3-5 teachers,,,No funding for dedicated CS teaching positions,,Scheduling conflicts or competing teaching assignments,,,,,,,CTE certification in technology or related field,,Professional development or training in CS education,,,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are aware of the standards but implementation is limited",,,No funding for CS curriculum or resources,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,,,,,,,Geographic isolation or small school size,,,,,,,,,,,No specific populations have limited access,
Alaska Gateway School District,Entire district,,"No, computer science courses are not currently offered",,,,,,,,,,,,,,,,,,,,,,,,,,,Access to CS-trained teachers,,,Funding for teaching positions,Guidance on how to integrate CS into existing courses,,,,Community or parent demand for CS courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdez City School District,Entire district,,"Yes, computer science courses are offered",,,,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,,,,,,,,1-25 students,No,Elective credit,,,,,,,,,,CS courses are available in one school only,,,,,,,,,,1-2 teachers,No teachers qualified or interested in teaching CS,,,,Scheduling conflicts or competing teaching assignments,,,,,Computer science teaching endorsement or certification,Math or science teaching certification (teaching CS as additional assignment),,,Professional development or training in CS education,,,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","No, we are not currently using the standards",Lack of qualified or trained teachers,,,,,Low student enrollment or interest,,,,,,Geographic isolation or small school size,,Elementary students (K-5),,,,,,,,,,
Cordova City School District,Entire district,,"Yes, computer science courses are offered",,3-5,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",CS integrated into math or science courses,Robotics or engineering courses with coding components,,,,,Coding clubs or after-school programs (not for credit),,51-100 students,No,Elective credit,Math credit,Science credit,CTE credit,,,,,,N/A,CS courses are available in all schools,,,,,,,,,,1-2 teachers,,,,,Scheduling conflicts or competing teaching assignments,,,,,,Math or science teaching certification (teaching CS as additional assignment),,,,,,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are aware of the standards but implementation is limited",,,,,Scheduling constraints or conflicts with other required courses,,,,,,,,Small staff.,,,,,,,,,,No specific populations have limited access,
Lake and Peninsula Borough School District,Entire district,LPSD,"Yes, computer science courses are offered",,3-5,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,,,,,CTE pathways with CS or technology focus,,CS is embedded into our Technology Courses offered 4th-12th grade.,101-200 students,"Yes, required for all students",Elective credit,,,,Technology or digital Studies credit (local requirement),,,,,,CS courses are available in all schools,,,,,,,,,,6-10 teachers,,Teachers interested but lack CS content knowledge or training,,,Scheduling conflicts or competing teaching assignments,Teachers teaching CS have limited planning time or support,,,,,,,,,,Self-taught or no formal CS qualifications,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are actively using and implementing the standards",,,,,Scheduling constraints or conflicts with other required courses,,,,,,,,Funding and PD for teachers,,,,,,,,,,,K-3
Nome Public Schools,Entire district,,"Yes, computer science courses are offered",,,,9-12,,,Robotics or engineering courses with coding components,,,,,,"We are trying, but lack of funding causes us to use what we can find",26-50 students,No,Elective credit,,,,,,,,,,CS courses are available in some schools,,,,,,,,,,3-5 teachers,,Teachers interested but lack CS content knowledge or training,No funding for dedicated CS teaching positions,,,Teachers teaching CS have limited planning time or support,,,,,Math or science teaching certification (teaching CS as additional assignment),,,,,Self-taught or no formal CS qualifications,,CS is taught by teachers on a volunteer or interest basis,"Yes, we are aware of the standards but implementation is limited",,,No funding for CS curriculum or resources,,,,,,,Limited awareness of CS curriculum options,,,,Elementary students (K-5),,,,,,,,,,
Nome Public Schools,Entire district,Nome Public Schools,"Yes, computer science courses are offered",,3-5,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",CS integrated into math or science courses,Robotics or engineering courses with coding components,,,,,,,1-25 students,No,Elective credit,,,CTE credit,,,,,,,CS courses are available in one school only,,,,,,,,,,1-2 teachers,,Teachers interested but lack CS content knowledge or training,No funding for dedicated CS teaching positions,,,,,,,,,,,Professional development or training in CS education,Industry experience in technology or software development,Self-taught or no formal CS qualifications,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are actively using and implementing the standards",,,No funding for CS curriculum or resources,No funding for CS teaching positions,,,,,,,,Geographic isolation or small school size,,,,,,,,,,,No specific populations have limited access,
Wrangell Public School District,Entire district,,"No, computer science courses are not currently offered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funding for CS curriculum and resources,Funding for teaching positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillingham City School District,Entire district,,"Yes, computer science courses are offered",,,6-8,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,,,,,,,,26-50 students,No,Elective credit,,,,Technology or digital Studies credit (local requirement),,,,,,CS courses are available in one school only,,,,,,,,,,1-2 teachers,,Teachers interested but lack CS content knowledge or training,,,,,,,,,,,,,,Self-taught or no formal CS qualifications,,CS is taught by teachers on a volunteer or interest basis,"No, we are not currently using the standards",,No teacher interest in teaching CS,,No funding for CS teaching positions,Scheduling constraints or conflicts with other required courses,,,,,,,,,Elementary students (K-5),,,,,,,,,,
Yupiit School District,Entire district,,I am unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,Professional development for current teachers,Funding for CS curriculum and resources,Funding for teaching positions,Guidance on how to integrate CS into existing courses,Examples of how other Alaska districts are implementing CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatham School District,Entire district,,"No, computer science courses are not currently offered",,,,,,,,,,,,,,,,,,,,,,,,,,,Access to CS-trained teachers,,Funding for CS curriculum and resources,Funding for teaching positions,,Examples of how other Alaska districts are implementing CS,Technology infrastructure improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juneau Borough School District,Entire district,,"Yes, computer science courses are offered",,,,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,,,,,,,,1-25 students,No,Elective credit,Math credit,,,,,,,,,CS courses are available in one school only,,,,,,,,,,1-2 teachers,No teachers qualified or interested in teaching CS,Teachers interested but lack CS content knowledge or training,,,,,,,,,Math or science teaching certification (teaching CS as additional assignment),,,,,,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)","Yes, we are aware of the standards but implementation is limited",Lack of qualified or trained teachers,No teacher interest in teaching CS,,No funding for CS teaching positions,,,,,,,,,,Elementary students (K-5),Middle school students (6-8),,,,,,,,,
Anchorage School District,Entire district,,"Yes, computer science courses are offered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdez City School District,Entire district,,"Yes, computer science courses are offered",,,,9-12,"Standalone CS courses (e.g. Introduction to Programming, AP Computer Science)",,,,,,,Coding clubs or after-school programs (not for credit),,1-25 students,No,Elective credit,Math credit,,,,,,,,,CS courses are available in one school only,,,,,,,,,,1-2 teachers,,Teachers interested but lack CS content knowledge or training,No funding for dedicated CS teaching positions,,Scheduling conflicts or competing teaching assignments,Teachers teaching CS have limited planning time or support,,,,,Math or science teaching certification (teaching CS as additional assignment),,,,,Self-taught or no formal CS qualifications,,"CS is taught by teachers with dual assignments (e.g., math teacher who also teaches CS)",,,,,,,,,,,,,,,,,,,,,,,,,
Mount Edgecumbe,Entire district,Mt. Edgecumbe High School,"No, computer science courses are not currently offered",,,,,,,,,,,,,,,,,,,,,,,,,,,Access to CS-trained teachers,Professional development for current teachers,Funding for CS curriculum and resources,Funding for teaching positions,,,Technology infrastructure improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuspuk School District,Entire district,,"No, computer science courses are not currently offered",,,,,,,,,,,,,,,,,,,,,,,,,,,,Professional development for current teachers,Funding for CS curriculum and resources,Funding for teaching positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoonah City School District,Entire district,Hoonah City School,"No, computer science courses are not currently offered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funding for CS curriculum and resources,Funding for teaching positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
